"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","497","ИНН — необязательное поле (''/null допускаются)","tests.api","Fri Nov 14 21:35:36 UTC 2025","passed","Fri Nov 14 21:35:36 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","209","Дата рождения — обязательное поле (''/null → 400)","tests.api","Fri Nov 14 21:35:40 UTC 2025","passed","Fri Nov 14 21:35:40 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","1794","Срок — число с точкой (10.0) → бэк принимает (200/201)","tests.api","Fri Nov 14 21:35:25 UTC 2025","passed","Fri Nov 14 21:35:27 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","669","Телефон — только маска '+7 (900) 000-00-00' принимается","tests.api","Fri Nov 14 21:35:32 UTC 2025","passed","Fri Nov 14 21:35:32 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","244","Серия/номер паспорта — валидные и невалидные варианты","tests.api","Fri Nov 14 21:35:37 UTC 2025","passed","Fri Nov 14 21:35:37 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","680","ИНН — валидный/невалидный формат","tests.api","Fri Nov 14 21:35:35 UTC 2025","failed","Fri Nov 14 21:35:36 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","2617","Базовый валидный запрос — 200/201","tests.api","Fri Nov 14 21:35:10 UTC 2025","passed","Fri Nov 14 21:35:13 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","1826","Ровно 18 лет на дату начала полиса — 200/201","tests.api","Fri Nov 14 21:35:15 UTC 2025","passed","Fri Nov 14 21:35:17 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","224","Неверный формат даты — 400 (валидная → 'YYYYMMDD')","tests.api","Fri Nov 14 21:35:21 UTC 2025","skipped","Fri Nov 14 21:35:21 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","301","Пол — невалидное случайное значение → 400 (или xfail для null)","tests.api","Fri Nov 14 21:35:23 UTC 2025","passed","Fri Nov 14 21:35:24 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","298","ФИО — невалидные значения по аналитике → 400","tests.api","Fri Nov 14 21:35:31 UTC 2025","failed","Fri Nov 14 21:35:31 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","220","Телефон — только маска '+7 (900) 000-00-00' принимается","tests.api","Fri Nov 14 21:35:32 UTC 2025","passed","Fri Nov 14 21:35:32 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","191","Код подразделения — формат NNN-NNN","tests.api","Fri Nov 14 21:35:38 UTC 2025","passed","Fri Nov 14 21:35:38 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","186","Периодичность — невалидное случайное значение → 400","tests.api","Fri Nov 14 21:35:24 UTC 2025","passed","Fri Nov 14 21:35:24 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","440","Дата рождения — обязательное поле (''/null → 400)","tests.api","Fri Nov 14 21:35:40 UTC 2025","passed","Fri Nov 14 21:35:40 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","1708","Младше 18 на 1 день на дату начала полиса — 400","tests.api","Fri Nov 14 21:35:17 UTC 2025","skipped","Fri Nov 14 21:35:19 UTC 2025","TestCachedUserValidation","test_cached_user_validation","",""
"","288","ИНН — необязательное поле (''/null допускаются)","tests.api","Fri Nov 14 21:35:36 UTC 2025","passed","Fri Nov 14 21:35:37 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","389","Email — формат и длина","tests.api","Fri Nov 14 21:35:33 UTC 2025","passed","Fri Nov 14 21:35:34 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","196","ФИО — невалидные значения по аналитике → 400","tests.api","Fri Nov 14 21:35:30 UTC 2025","passed","Fri Nov 14 21:35:31 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
"","481","ФИО — невалидные значения по аналитике → 400","tests.api","Fri Nov 14 21:35:30 UTC 2025","failed","Fri Nov 14 21:35:30 UTC 2025","TestFullCreateValidation","test_full_create_validation","",""
